Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean,Image_Link,Property_Link
Kost Eklusif Mewah Full Furnished Serasa Hotel 73 Kamar Di Ring 1 Kampus Uii Terpadu Jalan Kaliurang Km 13 Ngaglik Sleman,"Ngaglik, Sleman",24000000000,73,73,30,1275,2000,0.024086274,0.734693878,0.382978723,1,0.001061668,0.001708548,kost eklusif mewah full furnished serasa hotel 73 kamar ring 1 kampus uii padu jalan kaliurang km 13 ngaglik sleman,ngaglik sleman,jarang jarang jarang kost eklusif mewah baik serasa hotel 73 kamar ring 1 kampus,rumah premier full furnished dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/845c6b315450d2afc1afd2abaf084135.jpg,https://www.rumah123.com/properti/sleman/hos18118571/
Rumah Cantik 2 Lantai Dalam Perumahan Palagan One Gate System,"Sleman, Sleman",16000000000,5,4,2,166,147,0.016045791,0.040816327,0.015957447,0.034482759,0.0001375,0.000124786,rumah cantik 2 lantai rumah palagan one gate system,sleman sleman,jual rumah cantik 2 lantai rumah mewah villa green village lokasi sangat prestisus dan,rumah premier,https://picture.rumah123.com/r123-images/720x420-crop/customer/1505363/2024-07-31-19-26-53-8d2007f4-0847-46e6-9b7e-6ad9cc98f8a6.jpg,https://www.rumah123.com/properti/bantul/hos17739841/
Villa Private Pool Dekat Pusat Wisata Kota Jogja,"Ngaglik, Sleman",299000000,1,1,1,36,36,0.000265336,0,0,0,2.92E-05,2.99E-05,villa private pool dekat pusat wisata kota jogja,ngaglik sleman,villa privatepool spesifikasi fasilitas luxury bedroom bathroom kitchen,rumah premier dekat pusat belanja dekat sekolah dekat tempat ibadah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/b678cb9fb8cea6e0db9c04fd16af4b59.jpg,https://www.rumah123.com/properti/sleman/hos17175300/
Hunian Mewah Dengan Sky Balcony di Lokasi Prestisius Sleman,"Maguwoharjo, Yogyakarta",2.24E+11,4,3,2,120,150,0.22509837,0.030612245,0.010638298,0.034482759,9.92E-05,0.000127351,huni mewah sky balcony lokasi prestisius sleman,maguwoharjo yogyakarta,kode atm lebih banding rumah kelas akses mudah jangkau segala arah,rumah premier dekat akses transportasi dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/95c5532f8bb850cec1e5b066cd1a04e4.jpg,https://www.rumah123.com/properti/yogyakarta/hos18694528/
Dijual Rumah Murah Siap Huni Dua Lantai Dekat Stadion Maguwoharjo,"Maguwoharjo, Yogyakarta",2000000000,4,5,2,150,190,0.001974944,0.030612245,0.021276596,0.034482759,0.000124167,0.000161539,jual rumah murah siap huni lantai dekat stadion maguwoharjo,maguwoharjo yogyakarta,jual cepat rumah murah siap huni mang jalan aspal dekat jalan utama lantai kontruksi bangun,rumah premier siap huni dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1505363/49a528dd5adabb57dd59eda5a2eca3a8.jpg,https://www.rumah123.com/properti/yogyakarta/hos18681065/
Rumah Mewah Klasik Modern - Berkualitas Premium Di Jalan Kaliurang Km 13 Sukoharjo Ngaglik Sleman,"Ngaglik, Sleman",1.28E+11,3,2,1,146,100,0.128612564,0.020408163,0.005319149,0,0.000120833,8.46E-05,rumah mewah klasik modern kualitas premium jalan kaliurang km 13 sukoharjo ngaglik sleman,ngaglik sleman,rumah mewah klasik modern kualitas premium jalan kaliurang km 13 sukoharjo ngaglik sleman,rumah premier dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/845c6b315450d2afc1afd2abaf084135.jpg,https://www.rumah123.com/properti/sleman/hos18118571/
Dijual Rumah Murah Siap Huni halaman luas di Banguntapan,"Banguntapan, Bantul",1.25E+11,3,2,2,500,200,0.125597383,0.020408163,0.005319149,0.034482759,0.000415834,0.000170086,jual rumah murah siap huni halaman luas banguntapan,banguntapan bantul,jual rumah siap huni murah butuh uang potorono banguntapan luas tanah 500meter bangun 200meter,rumah premier siap huni dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/1505363/2024-07-31-19-26-53-8d2007f4-0847-46e6-9b7e-6ad9cc98f8a6.jpg,https://www.rumah123.com/properti/bantul/hos17739841/
"Megah Berkualitas Tiada Batas, Lokasi Dekat Hyatt Regency Hotel","Ngaglik, Sleman",1.72E+11,3,3,1,136,111,0.172835225,0.020408163,0.010638298,0,0.0001125,9.40E-05,megah kualitas tiada batas lokasi dekat hyatt regency hotel,ngaglik sleman,kode atk lokasi 500 meter jalan kapten haryadi jl kaliurang km 9 10 menit hyatt,rumah premier dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/b678cb9fb8cea6e0db9c04fd16af4b59.jpg,https://www.rumah123.com/properti/sleman/hos17175300/
Villa 2 Lantai Fully Furnished di Jl Kaliurang Jogja,"Sleman, Sleman",548000000,2,1,1,59,93,0.000515596,0.010204082,0,0,4.83E-05,7.86E-05,villa 2 lantai fully furnished jl kaliurang jogja,sleman sleman,dapat harga promo launching 500jutaan luas bangun 93 m2 luas tanah 59 5 m2 fasilitas type,rumah premier full furnished dekat sekolah dekat tempat ibadah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/56a8e66c8a753c3d5810a43a21d29743.jpg,https://www.rumah123.com/properti/sleman/hos17984205/
Rumah Cantik 2 Lantai di Perum Villa Green Village Jl Palagan,"Ngaglik, Sleman",16000000000,4,3,2,166,147,0.016045791,0.030612245,0.010638298,0.034482759,0.0001375,0.000124786,rumah cantik 2 lantai perum villa green village jl palagan,ngaglik sleman,kamu neng rumah yg banyak kamar neng ngundang saudara kerabat utk nginep rumah cek,rumah premier,https://picture.rumah123.com/r123-images/720x420-crop/customer/2098639/d88f1d56da2b3f8b532558b576110f17.jpg,https://www.rumah123.com/properti/sleman/hos18599043/
5 Menitan Saja !! Ke Kampus Sanata Dharma..rumah Murah Tanahnya Luas,"Maguwoharjo, Yogyakarta",870000000,3,2,1,155,100,0.000839226,0.020408163,0.005319149,0,0.000128333,8.46E-05,5 menit ke kampus sanata dharma rumah murah tanah luas,maguwoharjo yogyakarta,istimewa murah banget 5 menit ke kampus sanata dharma tanah luas lho 155m hanya,rumah premier dekat sekolah dekat fasilitas sehat dekat tempat wisata,https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/3b516f2e89769c018e0585be248ae307.jpg,https://www.rumah123.com/properti/yogyakarta/hos18144187/
